region_id,mean_electricity,mean_heatingfuels,region_name
AGO.8.67,-0.029424113,-0.068609417,Ombadja
AGO.9.68,-0.06595819,-0.026933635,Bailundo
AGO.9.69,-0.067740178,-0.033685684,Cala
AGO.9.70,-0.070213732,-0.038332498,Catchiungo
AGO.9.71,-0.075083618,-0.049041486,Ekunha
AGO.9.72,-0.069694184,-0.03332386,Huambo
AGO.9.73,-0.074376545,-0.047228861,Londuimbale
AGO.9.74,-0.074387023,-0.04291426,Longonjo
AGO.9.75,-0.066649088,-0.027234375,Mungo
AGO.9.76,-0.065932288,-0.03389647,Tchicala-Tcholoanga
AGO.9.77,-0.073618745,-0.044242144,Tchindjenje
AGO.9.78,-0.074772734,-0.045162106,Ukuma
AIA,0.23415085,-0.278885126,Anguilla
ALA.Ree1987c3c19cbe0d,-0.150673061,-2.15183882,Agglomeration
ALB.1.1.1,0.069855564,-0.786759182,Berat
ALB.1.1.Rc71f5ca05c59cbbc,0.073244559,-0.785298223,Agglomeration
ALB.1.2.14,0.103291625,-0.673203049,Kuov
ALB.1.2.Rae57516b5c5112db,0.103291625,-0.677138093,Agglomeration
ALB.1.3.18,0.019769728,-1.088516352,orovod
ALB.1.3.Rbb73513d6edc5fb4,0.010438165,-1.17376513,Agglomeration
ALB.R03f935dfb8f93f22,0.035968983,-1.016152377,Agglomeration
ALB.R78655fa8b5193657,0.059419173,-0.868377313,Agglomeration
AND.Ra5cc0db7a54d1bb3,-0.080783305,-1.85983297,Agglomeration
ARE.1,1.259758054,-0.994121516,Abu Dhabi
ARE.2,1.232352468,-0.975387812,Ajman
ARE.3,1.223368023,-0.968381575,Dubay
ARE.4,1.142909757,-0.924646044,Fujayrah
ARE.5,1.030304633,-0.891153035,Neutral Zone
ARE.6,1.219441806,-0.990739676,Ras Al Khaymah
ARE.7,1.22254318,-0.969952823,Sharjah
ARE.8,1.24247294,-0.993195449,Umm Al Qaywayn
ARG.1.1,0.11905747,-0.624485877,Adolfo Alsina
ARG.1.10,0.098952407,-0.597164364,Baha Blanca
ARG.1.103,0.125498548,-0.611855937,Salliquel
ARG.1.107,0.052818591,-0.704607818,San Cayetano
ARG.1.108,0.150639654,-0.53086958,San Fernando (1)
ARG.1.109,0.143557117,-0.538923406,San Fernando (2)
ARG.1.11,0.045639235,-0.744352289,Balcarce
ARG.1.110,0.140436465,-0.542771483,San Isidro
ARG.1.111,0.169911618,-0.561652761,San Nicols
ARG.1.112,0.160260926,-0.558114436,San Pedro
ARG.1.113,0.121637099,-0.565298515,San Vicente
ARG.1.115,0.050392126,-0.749430565,Tandil
ARG.1.117,0.143315974,-0.539264731,Tigre
ARG.1.118,0.079366636,-0.655050754,Tordillo
ARG.1.119,0.070068449,-0.701790474,Tornquist
ARG.1.121,0.05628903,-0.69561384,Tres Arroyos
ARG.1.122,0.133453965,-0.55353837,Tres de Febrero
ARG.1.125,0.134310713,-0.549450116,Vicente Lpez
ARG.1.126,0.057560921,-0.740939491,Villa Gesell
ARG.1.127,0.093278259,-0.590247676,Villarino
ARG.1.14,0.124658735,-0.555086714,Berazategui
ARG.1.18,0.112928963,-0.576749657,Brandsen
ARG.1.20,0.119421742,-0.575478738,Cauelas
ARG.1.25,0.092346949,-0.61294561,Castelli
ARG.1.28,0.134439478,-0.579519462,Chivilcoy
ARG.1.29,0.155015414,-0.591083421,Coln
ARG.1.30,0.094773758,-0.585999937,Coronel de Marina Leonardo Rosales
ARG.1.31,0.065464521,-0.664483453,Coronel Dorrego
ARG.1.32,0.071270472,-0.688411205,Coronel Pringles
ARG.1.34,0.109339853,-0.634979795,Daireaux
ARG.1.35,0.08418486,-0.636234149,Dolores
ARG.1.37,0.142978044,-0.543494271,Escobar
ARG.1.38,0.126075574,-0.559829186,Esteban Echeverra
ARG.1.4,0.124900486,-0.559415577,Almirante Brown
ARG.1.40,0.124840986,-0.558512687,Florencio Varela
ARG.1.41,0.03741427,-0.759600067,General Alvarado
ARG.1.45,0.077896304,-0.653749613,General Guido
ARG.1.46,0.068906312,-0.694538496,General Juan Madariaga
ARG.1.49,0.076427341,-0.674068977,General Lavalle
ARG.1.52,0.039706033,-0.767776033,General Pueyrredn
ARG.1.53,0.134011419,-0.558893249,General Rodrguez
ARG.1.54,0.133488351,-0.553487396,General San Martn
ARG.1.55,0.136257422,-0.55137859,General Sarmiento
ARG.1.58,0.115082556,-0.627779914,Guamin
ARG.1.60,0.139986984,-0.59130821,Junn
ARG.1.62,0.1320036,-0.554831031,La Matanza
ARG.1.63,0.123543029,-0.55362897,La Plata
ARG.1.64,0.135514563,-0.543363377,Lans
ARG.1.69,0.048254675,-0.725050449,Lobera
ARG.1.7,0.135514563,-0.543363377,Avellaneda
ARG.1.71,0.127802791,-0.554956483,Lomas de Zamora
ARG.1.72,0.13625384,-0.561612416,Lujn
ARG.1.73,0.106397413,-0.5776,Magdalena
ARG.1.74,0.072905333,-0.669562434,Maip
ARG.1.75,0.051611173,-0.731210161,Mar Chiquita
ARG.1.76,0.127950462,-0.565017464,Marcos Paz
ARG.1.77,0.136278368,-0.568529125,Mercedes
ARG.1.78,0.133365036,-0.555120703,Merlo
ARG.1.79,0.07691406,-0.617879247,Monte Hermoso
ARG.1.81,0.133844168,-0.557818975,Moreno
ARG.1.82,0.133453965,-0.55353837,Morn
ARG.1.84,0.047137553,-0.708353215,Necochea
ARG.1.86,0.082966875,-0.676449633,Olavarra
ARG.1.87,0.062100607,-0.601817035,Patagones
ARG.1.89,0.134655536,-0.593675952,Pellegrini
ARG.1.9,0.076647181,-0.682893475,Azul
ARG.1.90,0.155138576,-0.581003946,Pergamino
ARG.1.91,0.091696638,-0.621719747,Pila
ARG.1.92,0.142319499,-0.547388979,Pilar
ARG.1.94,0.102066655,-0.64938972,Pun
ARG.1.95,0.133501077,-0.545536423,Quilmes
ARG.1.R04175599c3d46818,0.136950111,-0.582695242,Agglomeration
ARG.1.R084bd7faeecc8d03,0.100444896,-0.598464584,Agglomeration
ARG.1.R312bac5c91f2da21,0.071488274,-0.67839215,Agglomeration
ARG.1.R51418060ce459e89,0.147614388,-0.573609831,Agglomeration
ARG.1.R6000f0382252ce15,0.08433131,-0.688291405,Agglomeration
ARG.1.R6092d69a0dd069d1,0.123595022,-0.552121458,Agglomeration
ARG.1.R61994858163dacea,0.126938203,-0.603013654,Agglomeration
ARG.1.R658f95be021ea8b8,0.056680709,-0.727708417,Agglomeration
ARG.1.R7f7810e5d8a3a2aa,0.151441097,-0.562966018,Agglomeration
ARG.1.R8405d4065a331296,0.148331287,-0.546899366,Agglomeration
ARG.1.R8940fe4d3279c26f,0.068331588,-0.707494137,Agglomeration
ARG.1.R8955ae8f5ff84b31,0.12283886,-0.576719187,Agglomeration
ARG.1.Rac59d1ebf79afd25,0.148412415,-0.588805382,Agglomeration
ARG.1.Race0fd6ccecef4f0,0.101629537,-0.628697257,Agglomeration
ARG.1.Rb3f795930621312a,0.080794465,-0.681299148,Agglomeration
ARG.1.Rc4b16d73e1da6d85,0.133820435,-0.593188378,Agglomeration
ARG.1.Rcf80ad3a103c7b1e,0.116309761,-0.595094825,Agglomeration
ARG.10.262,0.221935879,-0.814774222,Capital
ARG.10.263,-0.072484434,-2.03988501,Cochinoca
ARG.10.264,0.308249722,-0.67569957,El Carmen
ARG.10.265,-0.111198144,-2.12163731,Humahuaca
ARG.10.266,0.42445158,-0.590072773,Ledesma
ARG.10.267,0.288891741,-0.697368527,Palpal
ARG.10.268,-0.147252929,-2.26329881,Rinconada
ARG.10.269,0.196886485,-0.887737418,San Antonio
ARG.10.270,0.425626925,-0.586863515,San Pedro
ARG.10.271,0.426347998,-0.595012144,Santa Brbara
ARG.10.272,-0.079388047,-2.08344255,Santa Catalina
ARG.10.273,-0.17574715,-2.32728569,Susques
ARG.10.274,-0.047028017,-1.86634555,Tilcara
ARG.10.275,-0.054915261,-1.91313578,Tumbaya
ARG.10.276,-0.031248515,-1.78176836,Valle Grande
ARG.10.277,-0.006598687,-1.84060196,Yavi
ARG.11.279,0.120519624,-0.594848773,Caleu Caleu
ARG.11.280,0.139180471,-0.595717145,Capital
ARG.11.282,0.163694181,-0.590989397,Chalileo
ARG.11.284,0.134110065,-0.67398734,Chical C
ARG.11.286,0.138855857,-0.587003085,Curac
ARG.11.288,0.117994937,-0.623792288,Hucal
ARG.11.289,0.131950512,-0.603904631,Lihuel Calel
ARG.11.290,0.14606668,-0.591332386,Limay Mahuida
ARG.11.291,0.151594478,-0.586267038,Loventu
ARG.11.292,0.153146566,-0.555173113,Marac
ARG.11.293,0.132679335,-0.616184853,Pueln
ARG.11.296,0.166560451,-0.52993765,Realic
ARG.11.299,0.132286151,-0.619162706,Utracn
ARG.11.Rd8ee571614dae95d,0.14231566,-0.586360453,Agglomeration
ARG.12.300,0.317575538,-0.652973077,Arauco
ARG.12.301,0.322478977,-0.623762132,Capital
ARG.12.304,0.25418996,-0.74626793,Chilecito
ARG.12.305,0.16949944,-0.892824981,Coronel Felipe Varela
ARG.12.310,0.003811437,-1.40746826,General Lamadrid
ARG.12.313,0.310572073,-0.632172013,Independencia
ARG.12.317,-0.002920437,-1.42284897,Vinchina
ARG.12.R3172cf0818acc5fc,0.147187362,-0.95448229,Agglomeration
ARG.12.R7657a2dc6074f435,0.319106455,-0.512438538,Agglomeration
ARG.12.Rb20b1b581d2782cb,0.17609597,-0.927397535,Agglomeration
ARG.12.Rc626480f11929e00,0.310398883,-0.565398265,Agglomeration
ARG.13.318,0.154521864,-0.810733272,Capital
ARG.13.319,0.191380439,-0.599001121,General Alvear
ARG.13.320,0.154521864,-0.810733272,Godoy Cruz
ARG.13.321,0.162768903,-0.79273567,Guaymalln
ARG.13.322,0.221625224,-0.662508154,Junn
ARG.13.323,0.237260562,-0.584394883,La Paz
ARG.13.324,0.079585356,-1.053589829,Las Heras
ARG.13.325,0.267029961,-0.612620973,Lavalle
ARG.13.326,0.13591552,-0.857564357,Lujn de Cuyo
ARG.13.327,0.175033457,-0.764963962,Maip
ARG.13.328,0.05596568,-1.025632262,Malarge
ARG.13.329,0.199599512,-0.696833415,Rivadavia
ARG.13.330,0.118652255,-0.877729563,San Carlos
ARG.13.331,0.224038856,-0.660257669,San Martn
ARG.13.332,0.166978118,-0.691604422,San Rafael
ARG.13.333,0.224792967,-0.628381963,Santa Rosa
ARG.13.334,0.146911298,-0.822301271,Tunuyn
ARG.13.335,0.129814934,-0.87061486,Tupungato
ARG.14.337,0.341384487,-0.545836687,Caingus
ARG.14.338,0.403151729,-0.518326187,Candelaria
ARG.14.339,0.415814893,-0.51818161,Capital
ARG.14.340,0.377992787,-0.507651759,Concepcin
ARG.14.341,0.409318579,-0.535925239,Eldorado
ARG.14.342,0.343657458,-0.555767964,General Manuel Belgrano
ARG.14.344,0.419330285,-0.537033647,Iguaz
ARG.14.346,0.396479781,-0.530435224,Libertador General San Martn
ARG.14.347,0.3899204,-0.536832663,Montecarlo
ARG.14.348,0.35443908,-0.530528317,Ober
ARG.14.349,0.39083147,-0.525531012,San Ignacio
ARG.14.350,0.380176397,-0.507373859,San Javier
ARG.14.351,0.32946865,-0.557159956,San Pedro
ARG.14.R229b34c45d88aabc,0.372738196,-0.513559672,Agglomeration
ARG.14.R54e5121922cc6fa2,0.351468289,-0.536535922,Agglomeration
ARG.15.353,-0.01863693,-1.184902715,Alumin
ARG.15.354,0.120903283,-0.661360784,Aelo
ARG.15.355,0.029108775,-0.984002387,Catn Lil
ARG.15.356,0.03819409,-1.024364466,Chos Malal
ARG.15.357,0.035022425,-0.938398626,Colln Cur
ARG.15.358,0.122479265,-0.630109196,Confluencia
